YY,DD,MM,Kick-off,Date of the game,,Country,League,Seasons,ToG,Teams ,,Teams ID,,FT +OT Scores,,,,,,Draw,,,1 q ,,,OT Money Line,,OT Money Line,,OT Money Line,
,,,,GMT (UTC +0),PST (UTC -8),,,,,Home,Away,H,A,H,A,W,215.5,AH,TG,,H,A,H,A,R,matchbook,,pinnacle,,bet365,
,,,,,,,,,,,,,,,,,,,,,,,,,,H,A,H,A,H,A
2019,31,May,1:00,5/31/2019 1:00,5/30/2019 17:00,USA,NBA,2018/2019,Play Offs,Toronto Raptors,Golden State Warriors,TOR,GSW,118,109,H,O,9,227,,,,25,21,H,2.04,1.88,2.03,1.88,1.95,1.86
2019,26,May,0:30,5/26/2019 0:30,5/25/2019 16:30,USA,NBA,2018/2019,Play Offs,Toronto Raptors,Milwaukee Bucks,TOR,MIL,100,94,H,U,6,194,,,,18,31,A,1.65,2.12,1.79,2.14,1.71,2.20
2019,24,May,0:30,5/24/2019 0:30,5/23/2019 16:30,USA,NBA,2018/2019,Play Offs,Milwaukee Bucks,Toronto Raptors,MIL,TOR,99,105,A,U,6,204,,,,32,22,H,1.29,3.12,1.34,3.60,1.33,3.40
2019,22,May,0:30,5/22/2019 0:30,5/21/2019 16:30,USA,NBA,2018/2019,Play Offs,Toronto Raptors,Milwaukee Bucks,TOR,MIL,120,102,H,O,18,222,,,,32,31,H,2.02,1.68,2.20,1.75,2.20,1.71
2019,21,May,1:00,5/21/2019 1:00,5/20/2019 17:00,USA,NBA,2018/2019,Play Offs,Portland Trail Blazers,Golden State Warriors,POR,GSW,117,119,A,O,2,236,OT,111,111,35,36,A,2.19,1.53,2.31,1.69,2.40,1.62
2019,19,May,23:00,5/19/2019 23:00,5/19/2019 15:00,USA,NBA,2018/2019,Play Offs,Toronto Raptors,Milwaukee Bucks,TOR,MIL,118,112,H,O,6,230,OT,96,96,30,21,H,1.65,2.09,1.70,2.29,1.68,2.25
2019,19,May,1:00,5/19/2019 1:00,5/18/2019 17:00,USA,NBA,2018/2019,Play Offs,Portland Trail Blazers,Golden State Warriors,POR,GSW,99,110,A,U,11,209,,,,29,27,H,1.62,1.98,1.75,2.20,1.74,2.15
2019,18,May,0:30,5/18/2019 0:30,5/17/2019 16:30,USA,NBA,2018/2019,Play Offs,Milwaukee Bucks,Toronto Raptors,MIL,TOR,125,103,H,O,22,228,,,,35,21,H,1.29,3.16,1.36,3.44,1.36,3.25
